owner,table_name,business_name,description,grain,primary_key,notes,_source
CENTRALSERVICES,ADDRESS,Address,Stores physical and mailing addresses used by Central Services applications.,One row per unique address,ADDRESSID,,current
CENTRALSERVICES,ADDRESS,Address,Stores addresses from installation records and customer information uploads,One row per unique address,ADDRESSID,link address id to service locations table,proposed
CENTRALSERVICES,BILLINGCYCLES,Billing Cycle,,,,,proposed
CENTRALSERVICES,COLLECTORS,,,,,,proposed
CENTRALSERVICES,COLLECTORSTATS,,,,,,proposed
CENTRALSERVICES,COMMANDLOG,,,,,,proposed
CENTRALSERVICES,COMMANDRESPONSE,,,,,,proposed
CENTRALSERVICES,COMMANDSSENT,,,,,,proposed
CENTRALSERVICES,COMMANDSTATUSCODES,,,,,,proposed
CENTRALSERVICES,COMMANDTYPES,,,,,,proposed
CENTRALSERVICES,DATABASE_MAINT_ARCHIVE,,,,,,proposed
CENTRALSERVICES,DATADEFINITIONS,Data Definitions,"Stores all data definitions, aka reference table",,,,proposed
CENTRALSERVICES,ENDPOINTDEPLOYMENTSTATISTICS,,,,,,proposed
CENTRALSERVICES,ENDPOINTGROUPASSOC,,,,,,proposed
CENTRALSERVICES,ENDPOINTMETERCONFIGURATION,,,,,,proposed
CENTRALSERVICES,ENDPOINTMODELS,,,,,,proposed
CENTRALSERVICES,ENDPOINTNOTES,,,,,,proposed
CENTRALSERVICES,ENDPOINTS,,,,,,proposed
CENTRALSERVICES,ENDPOINTSTATUSCODEHISTORY,,,,,,proposed
CENTRALSERVICES,ERRORLOG,,,,,,proposed
CENTRALSERVICES,ERRORTYPES,,,,,,proposed
CENTRALSERVICES,EVENTLOG,Event Log,,,,,proposed
CENTRALSERVICES,EVENTTYPES,,,,,,proposed
CENTRALSERVICES,GPSLOCATIONS,,,,,,proposed
CENTRALSERVICES,GROUPS,,,,,,proposed
CENTRALSERVICES,GROUPTYPES,,,,,,proposed
CENTRALSERVICES,IDREADINGLATESTVALUES,,,,,,proposed
CENTRALSERVICES,IDREADINGLOGS,,,,,,proposed
CENTRALSERVICES,INTERVALDATA,,,,,,proposed
CENTRALSERVICES,INTERVALDATALATESTVALUES,,,,,,proposed
CENTRALSERVICES,INTERVALTYPES,,,,,,proposed
CENTRALSERVICES,METERCONFIGURATION,,,,,,proposed
CENTRALSERVICES,METERS,,,,,,proposed
CENTRALSERVICES,PACKETTYPES,,,,,,proposed
CENTRALSERVICES,PLANS,,,,,,proposed
CENTRALSERVICES,PLANSCHEDULES,,,,,,proposed
CENTRALSERVICES,PLANTYPES,,,,,,proposed
CENTRALSERVICES,READ_SCHEDULE,,,,,,proposed
CENTRALSERVICES,RFENDPOINTPROPERTIES,,,,,,proposed
CENTRALSERVICES,RSSDEVICES,,,,,,proposed
CENTRALSERVICES,SERVICELOCATIONS,,,,,,proposed
CENTRALSERVICES,STATUSCODES,,,,,,proposed
CENTRALSERVICES,USERROLE,,,,,,proposed
CENTRALSERVICES,USERS,,,,,,proposed
