OWNER,TABLE_NAME,TABLE_BUSINESS_NAME,TABLE_DESCRIPTION,grain,COLUMN_ID,COLUMN_NAME,COLUMN_BUSINESS_NAME,COLUMN_DESCRIPTION,DATA_TYPE,DATA_LENGTH,DATA_PRECISION,DATA_SCALE,NULLABLE
CENTRALSERVICES,ADDRESS,Address,"Stores addresses (street, city, state, zip) from installation records and customer information uploads.",One row per unique address,1,ADDRESSID,Address Identifier,Unique identifier assigned to each address record.,NUMBER,22,10.0,0.0,False
CENTRALSERVICES,ADDRESS,Address,"Stores addresses (street, city, state, zip) from installation records and customer information uploads.",One row per unique address,2,ADDRESSLINE1,Address Line 1,Primary street address line.,NVARCHAR2,200,,,True
CENTRALSERVICES,ADDRESS,Address,"Stores addresses (street, city, state, zip) from installation records and customer information uploads.",One row per unique address,3,ADDRESSLINE2,Address Line 2,Secondary street address line.,NVARCHAR2,100,,,True
CENTRALSERVICES,ADDRESS,Address,"Stores addresses (street, city, state, zip) from installation records and customer information uploads.",One row per unique address,4,ADDRESSLINE3,,,NVARCHAR2,100,,,True
CENTRALSERVICES,ADDRESS,Address,"Stores addresses (street, city, state, zip) from installation records and customer information uploads.",One row per unique address,5,CITY,City,City name associated with the address.,NVARCHAR2,56,,,True
CENTRALSERVICES,ADDRESS,Address,"Stores addresses (street, city, state, zip) from installation records and customer information uploads.",One row per unique address,6,STATE,State,State associated with the address.,NVARCHAR2,40,,,True
CENTRALSERVICES,ADDRESS,Address,"Stores addresses (street, city, state, zip) from installation records and customer information uploads.",One row per unique address,7,ZIP,ZIP Code,Postal/ZIP code associated with the address.,NVARCHAR2,100,,,True
CENTRALSERVICES,BILLINGCYCLES,Billing Cycle,Lists the billing cycles; the NAME field holds the cycle as a text value. A meter belongs to exactly one cycle.,One row per billing cycle,1,BILLINGCYCLEID,,,NUMBER,22,10.0,0.0,False
CENTRALSERVICES,BILLINGCYCLES,Billing Cycle,Lists the billing cycles; the NAME field holds the cycle as a text value. A meter belongs to exactly one cycle.,One row per billing cycle,2,ORGANIZATIONID,,,NUMBER,22,10.0,0.0,False
CENTRALSERVICES,BILLINGCYCLES,Billing Cycle,Lists the billing cycles; the NAME field holds the cycle as a text value. A meter belongs to exactly one cycle.,One row per billing cycle,3,NAME,Billing Cycle Name,The billing cycle as a text value.,NVARCHAR2,100,,,False
CENTRALSERVICES,BILLINGCYCLES,Billing Cycle,Lists the billing cycles; the NAME field holds the cycle as a text value. A meter belongs to exactly one cycle.,One row per billing cycle,4,NOTES,,,NVARCHAR2,510,,,True
CENTRALSERVICES,BILLINGCYCLES,Billing Cycle,Lists the billing cycles; the NAME field holds the cycle as a text value. A meter belongs to exactly one cycle.,One row per billing cycle,5,TENANTID,,,NUMBER,22,5.0,0.0,False
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,1,COLLECTORID,Collector Identifier,Unique identifier for the collector.,NUMBER,22,10.0,0.0,False
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,2,ORGANIZATIONID,,,NUMBER,22,10.0,0.0,False
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,3,NAME,Collector Name,The collector's name.,NVARCHAR2,100,,,True
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,4,NOTES,,,NVARCHAR2,510,,,True
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,5,STATUSCODEID,Status Code Identifier,Current status of the collector.,NUMBER,22,3.0,0.0,False
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,6,ARCHIVE,,,NUMBER,22,1.0,0.0,False
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,7,TIMEZONECODE,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,8,CONFIRMEDNAME,,,NVARCHAR2,100,,,True
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,9,COLLECTORTYPEID,,,NUMBER,22,10.0,0.0,False
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,10,GPSLOCATIONID,GPS Location Identifier,GPS location of the collector.,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,11,IPADDRESS,,,VARCHAR2,50,,,True
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,12,PORT,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,13,COLLECTORCOMMANDMODELTYPEID,,,NUMBER,22,3.0,0.0,False
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,14,AUTDCOMMANDSPENDING,,,NUMBER,22,1.0,0.0,False
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,15,DIRECTIONS,,,VARCHAR2,255,,,True
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,16,COMMUNICATIONTYPEID,,,NUMBER,22,3.0,0.0,True
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,17,AUTDTIMEOUTSECONDS,,,NUMBER,22,10.0,0.0,False
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,18,ZIPCODE,,,NVARCHAR2,100,,,True
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,19,SGMNTGROUPID,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,20,CLTRAPPEDPTID,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,21,CLTRSUBTYPID,,,NUMBER,22,,,True
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,22,ISGAP,,,NUMBER,22,1.0,0.0,False
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,23,ONBATTERYBACKUP,,,NUMBER,22,1.0,0.0,True
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,24,ONBATTERYBACKUPTIMESTAMP,,,DATE,7,,,True
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,25,DATEOFMNFCTRRDT,,,DATE,7,,,True
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,26,SECIDNTY,,,VARCHAR2,50,,,True
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,27,WANPHONENUMBER,,,VARCHAR2,50,,,True
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,28,CRBRANCHCODE,,,NVARCHAR2,100,,,True
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,29,PLANNUMBER,,,VARCHAR2,50,,,True
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,30,THRDPTYSYSIDNTY,,,VARCHAR2,50,,,True
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,31,COMMODULEENABLED,,,NUMBER,22,1.0,0.0,False
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,32,LASTCFGCHANGEUTCDTM,,,TIMESTAMP(6),11,,6.0,True
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,33,TENANTID,,,NUMBER,22,5.0,0.0,False
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,34,ADAPTERSETTINGS,,,VARCHAR2,255,,,True
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,35,WISUNENABLED,,,NUMBER,22,1.0,0.0,True
CENTRALSERVICES,COLLECTORS,Collector,List of collectors (formerly called SPUs). Stores general properties common to all collector types (PLC or RF).,One row per collector,36,BTTRYTSTCPBL,,,NUMBER,22,1.0,0.0,False
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,1,COLLECTORSTATSID,,,NUMBER,22,10.0,0.0,False
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,2,COLLECTORID,,,NUMBER,22,10.0,0.0,False
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,3,STATISTICDATE,,,DATE,7,,,False
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,4,LASTUPDATEDATE,,,DATE,7,,,False
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,5,TOTALDEVICES,,,NUMBER,22,5.0,0.0,True
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,6,TOTALMESSAGES,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,7,PUBLISHEDREADINGS,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,8,EXPECTEDREADINGS,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,9,GAPREADINGS,,,NUMBER,22,10.0,0.0,True
CENTRALSERVICES,COLLECTORSTATS,Collector Statistics,"Daily per-collector performance statistics: published vs expected readings, gaps, comm failures, mesh layers, and data/network scores.",One row per collector per statistic date,10,TOTALEVENTS,,,NUMBER,22,10.0,0.0,True
